MV_1,MV_2,MV_3,MV_4,MV_5,MV_6,MV_7,MV_8,MV_9,MV_10,MV_11,t
1.0275362246303186,1.0118519087032387,0.986170922564593,0.9848372650510471,0.9838852701110958,0.9828201009166698,0.9826724638816462,0.982478476710662,0.9817695247484957,0.9809543646846562,0.9808501511090071,2.443
1.0275362526040281,1.011851995489079,0.9861710888542806,0.984837434861466,0.9838854420483534,0.9828202758158974,0.9826726462793428,0.9824786556655979,0.9817697055365318,0.9809545484685914,0.9808503355473348,2.444
1.0275362805787818,1.0118520822781583,0.986171255150185,0.984837604678234,0.9838856139920399,0.9828204507216649,0.9826728286838613,0.9824788346272264,0.9817698863313291,0.9809547322594008,0.980850519992561,2.445
1.0275363085526892,1.0118521690646114,0.986171421441068,0.9848377744898748,0.9838857859305352,0.9828206256221527,0.9826730110828749,0.9824790135834532,0.98177006712067,0.9809549160446636,0.9808507044322212,2.446
1.0275363365238597,1.011852255842573,0.9861715877156911,0.9848379442849122,0.9838859578522199,0.9828208005055403,0.9826731934640566,0.9824791925221843,0.9817702478923362,0.9809550998119595,0.9808508888538506,2.447
1.0275363644904023,1.011852342606178,0.9861717539628165,0.9848381140518703,0.9838861297454737,0.9828209753600082,0.9826733758150799,0.9824793714313254,0.9817704286341098,0.980955283548868,0.9808510732449844,2.448
1.0275363924504273,1.0118524293495617,0.9861719201712057,0.9848382837792726,0.9838863015986767,0.982821150173736,0.9826735581236177,0.9824795502987824,0.9817706093337727,0.9809554672429684,0.980851257593158,2.449
1.0275364204020432,1.0118525160668583,0.9861720863296207,0.9848384534556432,0.9838864734002095,0.9828213249349035,0.9826737403773432,0.9824797291124612,0.9817707899791066,0.9809556508818403,0.9808514418859067,2.45
1.0275364483433607,1.011852602752203,0.9861722524268229,0.984838623069506,0.9838866451384515,0.9828214996316905,0.9826739225639297,0.9824799078602674,0.9817709705578938,0.9809558344530631,0.9808516261107653,2.451
1.0275364762724883,1.0118526893997302,0.9861724184515744,0.9848387926093845,0.9838868168017831,0.9828216742522776,0.9826741046710501,0.982480086530107,0.9817711510579159,0.9809560179442164,0.9808518102552692,2.452
1.027536504187536,1.011852776003575,0.9861725843926369,0.9848389620638024,0.9838869883785845,0.9828218487848439,0.9826742866863777,0.9824802651098857,0.9817713314669549,0.9809562013428793,0.9808519943069539,2.453
