idx,deg,surv,err,ret_suc,time,first_location,first_freq,sec_location,sec_freq
MV_1,2,0.9461077844311377,0.007133447450208893,947,0.48235112849623524,11,50,10,49
MV_2,2,0.999001996007984,0.0009975058617169102,1000,0.5,,,,
MV_3,3,0.9830339321357285,0.004079819915683483,984,0.4936443996602208,6,14,5,14
MV_4,2,0.9710578842315369,0.00529607146452851,972,0.4889114858339719,10,22,9,22
MV_5,2,0.9880239520958084,0.003436423165508465,989,0.49563546305295736,9,9,8,9
MV_6,1,0.9960079840319361,0.001992019952107759,997,0.49881895573064566,4,2,6,1
MV_7,1,0.9940119760479041,0.0024372703886418267,995,0.49803633308729706,11,4,10,4
MV_8,3,0.9760479041916168,0.004830292895452357,977,0.4908924010302605,6,17,11,16
MV_9,2,0.9780439121756487,0.004629379625863489,979,0.49169380350309394,6,13,7,13
MV_10,2,0.9900199600798403,0.003140177907185227,991,0.49644368092682645,7,8,9,7
MV_11,1,0.9950099800399201,0.002226029928458528,996,0.49842009334289583,9,4,8,4
