idx,deg,surv,err,ret_suc,time,first_location,first_freq,sec_location,sec_freq
MV_1,2,0.999001996007984,0.0009975058617169102,1000,0.5,,,,
MV_2,2,0.999001996007984,0.0009975058617169102,1000,0.5,,,,
MV_3,3,0.8812375249500998,0.010220031872112146,883,0.45339720027555197,11,116,10,116
MV_4,2,0.8972055888223552,0.00959393730135867,898,0.459713235142277,6,101,11,99
MV_5,2,0.9291417165668663,0.008105922227096675,930,0.47246659730648594,6,68,11,63
MV_6,1,0.999001996007984,0.0009975058617169102,1000,0.5,,,,
MV_7,1,0.999001996007984,0.0009975058617169102,1000,0.5,,,,
MV_8,3,0.9241516966067864,0.00836393611948125,925,0.4704892726580716,11,73,10,71
MV_9,2,0.9461077844311377,0.007133447450208893,951,0.47952974850382213,11,53,10,47
MV_10,2,0.9830339321357285,0.004079819915683483,1000,0.49423700000000004,11,16,10,6
MV_11,1,0.998003992015968,0.0014099815035945374,1000,0.49976800000000005,11,1,,
