idx,deg,surv,err,ret_suc,time,first_location,first_freq,sec_location,sec_freq
MV_1,2,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_2,2,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_3,3,0.9117647058823529,0.028084226783300914,92,0.46831920814220623,11,8,10,8
MV_4,2,0.9215686274509803,0.026620037482681685,93,0.47235790125760296,11,7,10,7
MV_5,2,0.9607843137254902,0.019219530565090324,97,0.4881701582080939,11,3,10,3
MV_6,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_7,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_8,3,0.9509803921568627,0.021378174203035137,96,0.4843751737846289,11,4,10,4
MV_9,2,0.9607843137254902,0.019219530565090324,97,0.48829221032418124,11,3,10,3
MV_10,2,0.9901960784313726,0.009755744758307854,100,0.5,,,,
MV_11,1,0.9901960784313726,0.009755744758307854,100,0.5,,,,
