V,V_matlab,A,A_matlab,s_real,s_real_matlab,s_imag,s_imag_matlab,real,imag
1.0,1.0,0.0,0.0,24.40048903027117,-24.40048903027117,9.39761634666317,-9.39761634666315,1.0,0.0
1.0210986546744045,1.0210986546744045,-6.9772827519034335,-6.9772827519034335,-19.838999999999963,19.83899999999999,-4.636994095910305,4.636994095910353,1.013536800038352,-0.12403877436469875
0.9981135935091896,0.9981135935091896,-7.964797543217193,-7.964797543217193,-1.0731955228643616e-13,6.63701034376581e-14,6.933378567755878e-16,2.6519389887338545e-14,0.9884851805505734,-0.1383032659763606
0.9621666283417032,0.9621666283417032,-9.584912831459762,-9.584912831459762,-0.5017000000001549,0.5017000000002398,-0.2088800060914916,0.20888000609125534,0.9487347019275323,-0.16020950674949855
0.960363604842049,0.960363604842049,-9.682219334078193,-9.682219334078193,-0.43164999999999076,0.4316500000000402,-0.10817998905237418,0.1081799890524211,0.9466839063126792,-0.16151729020071404
0.9591277707835827,0.9591277707835827,-9.74919118971384,-9.74919118971384,-0.7275000000001282,0.7275000000001152,-0.18232995891488085,0.1823299589147448,0.945276478708819,-0.1624144682229398
0.9576662754049983,0.9576662754049983,-9.82851761867538,-9.82851761867538,-0.5480499999999546,0.5480499999999883,-0.13735020411331972,0.13735020411333457,0.9436106636743635,-0.16347357721695963
0.9565140878918958,0.9565140878918958,-9.826660042025669,-9.826660042025669,-0.07649999999998297,0.07650000000000332,-0.04740999969151387,0.04740999969155172,0.9424806798268199,-0.16324634295701912
0.9567841999043147,0.9567841999043147,-9.816651082365038,-9.816651082365038,-0.5868499999997684,0.5868499999998205,-0.14707975675004817,0.1470797567497908,0.942775339973654,-0.16312775215793535
0.9558299555164573,0.9558299555164573,-9.854068007426363,-9.854068007426363,-0.5737500000001647,0.5737500000001519,-0.3555799723933147,0.35557997239339956,0.9417284423404875,-0.16358008665345541
0.9546128597872063,0.9546128597872063,-9.915611153452769,-9.915611153452769,-0.5432999999995735,0.5432999999998153,-0.16126012528939748,0.16126012528952044,0.9403532774519623,-0.16438195051909213
0.9544206284164808,0.9544206284164808,-9.925787879801746,-9.925787879801746,-0.32980000000014303,0.32979999999996334,-0.08265999670278254,0.08265999670262121,0.9401347115057679,-0.16451583561735553
